group_name,person
Visiting Appointments,Habib Haddad
Visiting Appointments,Chuang Deng
Visiting Appointments,Nadya Peek
Visiting Appointments,Hsien-I Lin
Visiting Appointments,Michael Koehrsen
Visiting Appointments,Eiji Yoshida
Visiting Appointments,Peter Beshai
Center for Civic Media,Whitney Erin Boesel
Center for Civic Media,Amy Webb
Center for Civic Media,Chris Csikszentmihályi
Center for Civic Media,Dalia Othman
Center for Civic Media,David Zwarg
Center for Civic Media,Dylan Wrynn
Center for Civic Media,Edward Platt
Center for Civic Media,Helena Puig Larrauri
Center for Civic Media,Hiromi Onishi
Center for Civic Media,Ingeborg Endter
Center for Civic Media,Maojie Sun
Visiting Appointments,Xiaowen Dong
Visiting Appointments,Christopher Burtner
Visiting Appointments,Nicole Bakker
Visiting Appointments,Khaled Al-Ghoneim
Visiting Appointments,Adam Marblestone
Visiting Appointments,Alexander Auerbach
Visiting Appointments,Nicolas Hogan
Visiting Appointments,Zeguan Wang
Visiting Appointments,Jin Joo Lee
Lifelong Kindergarten,Benjamin Wheeler
Center for Civic Media,Marco Bani
Center for Civic Media,Matthew Carroll
Center for Civic Media,Mayo Morell
Center for Civic Media,Michiyo Kubota
Center for Civic Media,Nitin Sawhney
Visiting Appointments,Xuhai Xu
Visiting Appointments,Xavier Lambein
Visiting Appointments,Hancheng Cao
Visiting Appointments,Aske Mottelson Clausen
Visiting Appointments,Lior Aharoni
Visiting Appointments,Shoh Asano
Visiting Appointments,Mohammed Aamir
Visiting Appointments,Rebekah Larsen
Visiting Appointments,Manish Singh
Visiting Appointments,Gabriel Teninbaum
Visiting Appointments,Aditya Khosla
Visiting Appointments,Neeraj Saini
Visiting Appointments,Francesco Marconi
Lifelong Kindergarten,Lily Gabaree
Lifelong Kindergarten,Marian Muthui
Lifelong Kindergarten,Mitchel Resnick
Lifelong Kindergarten,Abisola Okuk
Lifelong Kindergarten,Kristin Osiecki
Lifelong Kindergarten,Natalie Rusk
Lifelong Kindergarten,Bryce Taylor
Lifelong Kindergarten,Leo Burd
Lifelong Kindergarten,Tina Quach
Lifelong Kindergarten,Carl Bowman
Lifelong Kindergarten,Jie Qi
Lifelong Kindergarten,Christan Balch
Lifelong Kindergarten,Chris Garrity
Center for Civic Media,Regan St. Pierre
Center for Civic Media,Sean Wheeler
Center for Civic Media,Yesica Guerra
Lifelong Kindergarten,Colby Gutierrez-Kraybill
Lifelong Kindergarten,Champika Fernando
Lifelong Kindergarten,Shruti Dhariwal
Lifelong Kindergarten,Sean Hickey
Lifelong Kindergarten,Paul Kaplan
Lifelong Kindergarten,Di Liu
Lifelong Kindergarten,Kreg Hanning
Lifelong Kindergarten,Sarah Otts
Lifelong Kindergarten,Carmelo Presicce
Lifelong Kindergarten,Eric Rosenbaum
Lifelong Kindergarten,Yumiko Murai
Lifelong Kindergarten,Eric Schilling
Lifelong Kindergarten,Andrew Sliwinski
Lifelong Kindergarten,Tracy Tang
Lifelong Kindergarten,Jaleesa Trapp
Lifelong Kindergarten,John H. Maloney
Lifelong Kindergarten,Karen Brennan
Lifelong Kindergarten,Christopher Willis-Ford
Lifelong Kindergarten,Kazutoyo Takata
Lifelong Kindergarten,Amon D. Millner
Lifelong Kindergarten,Moran Tsur
Lifelong Kindergarten,Claudia Urrea
Emerging Worlds,Pratik Shah
Future Storytelling,Cynthia Breazeal
Lifelong Kindergarten,Matthew Taylor
Lifelong Kindergarten,Kasia Chmielinski
Lifelong Kindergarten,Andrew Begel
Lifelong Kindergarten,Juanita Buitrago
Lifelong Kindergarten,Abdulrahman Y. idlbi
Pixel Factory,Cesar A. Hidalgo
Emerging Worlds,Aymar Guespereau
Emerging Worlds,Ramesh Raskar
Emerging Worlds,Margaret Church
Emerging Worlds,Beth Zonis
Future Storytelling,Ramesh Raskar
Future Storytelling,Kristin Hall
Lifelong Kindergarten,Shane Clements
Pixel Factory,Jessica Rais
Pixel Factory,Manuel Aristaran
Signal Kinetics,Nicholas Selby
Lifelong Kindergarten,Sayamindu Dasgupta
Signal Kinetics,Fadel Adib
ML Learning,Elise Roth
Lifelong Kindergarten,Julia Zimmerman
Lifelong Kindergarten,Timothy Mickel
Lifelong Kindergarten,Steven Dale
Lifelong Kindergarten,David A. Mellis
Lifelong Kindergarten,Jennifer Jacobs
Lifelong Kindergarten,Ricarose Roque
Lifelong Kindergarten,Saskia Leggett
Lifelong Kindergarten,Alisha Panjwani
Lifelong Kindergarten,Elisabeth Sylvan
Lifelong Kindergarten,Srishti Sethi
Lifelong Kindergarten,Tiffany Tseng
Lifelong Kindergarten,Jay Saul Silver
Lifelong Kindergarten,Karishma Chadha
Signal Kinetics,Priscilla Capistrano
Signal Kinetics,Yunfei Ma
Signal Kinetics,Zhihong Luo
Signal Kinetics,Junsu Jang
Signal Kinetics,Manish Singh
Signal Kinetics,Unsoo Ha
ML Learning,J. Philipp Schmidt
ML Learning,Katherine McConachie
ML Learning,Yumiko Murai
ML Learning,Maggie Cohen
ML Learning,Genevieve Barrons
ML Learning,Helen Bailey
ML Learning,Noor Eddin  Amer
ML Learning,Stefania Druga
ML Learning,Kreg Hanning
ML Learning,Kristy Johnson
ML Learning,Joy Buolamwini
ML Learning,Jacqueline M Kory Westlund
ML Learning,Anneli Hershman
Lifelong Kindergarten,Mark Ferrell
Lifelong Kindergarten,Amos Blanton
ML Learning,Mina Khan
ML Learning,Shruti Dhariwal
ML Learning,Christian David Vazquez Machado
ML Learning,Kimberly Smith
ML Learning,Akito Oshiro van Troyer
Lifelong Kindergarten,Margarita Dekoli
Lifelong Kindergarten,Evelyn Eastmond
Lifelong Kindergarten,Linda Garmon
Lifelong Kindergarten,Andres Monroy-Hernandez
Lifelong Kindergarten,Ray Schamp
Lifelong Kindergarten,Tamara Stern
Lifelong Kindergarten,Nobuyuki Ueda
Lifelong Kindergarten,Oren Zuckerman
Digital Currency Initiative (DCI),Neha Narula
Digital Currency Initiative (DCI),Gary Gensler
Software Agents,Henry A. Lieberman
Digital Currency Initiative (DCI),Joi Ito
Digital Currency Initiative (DCI),Wladimir van der Laan
Digital Currency Initiative (DCI),Mark Weber
Digital Currency Initiative (DCI),Chelsea Barabas
Digital Currency Initiative (DCI),Thaddeus Dryja
Digital Currency Initiative (DCI),Julia Schachnik
Digital Currency Initiative (DCI),Cory Fields
Digital Currency Initiative (DCI),Michael Casey
Digital Currency Initiative (DCI),Robleh Ali
Digital Currency Initiative (DCI),Alin Dragos
Digital Currency Initiative (DCI),Gavin Andresen
Ethics and Governance of Artificial Intelligence,Chelsea Barabas
Software Agents,Akiko Dufoe
Software Agents,Anthony Russello
Software Agents,Birago Jones
Software Agents,Christopher Fry
Software Agents,Chenghua Li
Software Agents,Dustin A. Smith
Software Agents,Earl J Wagner
Ethics and Governance of Artificial Intelligence,J Nathan Matias
Ethics and Governance of Artificial Intelligence,Madars Virza
Ethics and Governance of Artificial Intelligence,Karthik Dinakar
Ethics and Governance of Artificial Intelligence,Natalie Saltiel
Ethics and Governance of Artificial Intelligence,Iyad Rahwan
